SingleX,SingleY,DoubleX,DoubleY,TrebleX,TrebleY
5.1687298728719175e-18,0.08441176470588235,-0.9764705882352941,-1.195831580343886e-16,-0.6176470588235294,-7.563994935910123e-17
-0.752453537892342,-0.24448697496135552,-0.9286787159117381,-0.30174600627200754,-0.5874172600646537,-0.19086343770217346
-0.640075210255473,-0.4650418613725744,-0.7899813003896544,-0.5739550110620621,-0.49968696711393806,-0.3630438322982923
-0.46504186137257425,-0.6400752102554731,-0.5739550110620619,-0.7899813003896545,-0.3630438322982922,-0.4996869671139382
-0.24448697496135538,-0.7524535378923422,-0.30174600627200737,-0.9286787159117382,-0.19086343770217337,-0.5874172600646538
4.8445586613329115e-17,-0.7911764705882353,5.97915790171943e-17,-0.9764705882352941,3.7819974679550614e-17,-0.6176470588235294
0.24448697496135546,-0.752453537892342,0.3017460062720075,-0.9286787159117381,0.19086343770217343,-0.5874172600646537
0.4650418613725744,-0.640075210255473,0.5739550110620621,-0.7899813003896544,0.3630438322982923,-0.49968696711393806
0.6400752102554731,-0.4650418613725743,0.7899813003896545,-0.573955011062062,0.4996869671139382,-0.36304383229829224
0.752453537892342,-0.24448697496135544,0.9286787159117381,-0.3017460062720074,0.5874172600646537,-0.1908634377021734
0.7911764705882353,0.0,0.9764705882352941,0.0,0.6176470588235294,0.0
0.752453537892342,0.24448697496135544,0.9286787159117381,0.3017460062720074,0.5874172600646537,0.1908634377021734
0.6400752102554731,0.4650418613725743,0.7899813003896545,0.573955011062062,0.4996869671139382,0.36304383229829224
0.4650418613725744,0.640075210255473,0.5739550110620621,0.7899813003896544,0.3630438322982923,0.49968696711393806
0.24448697496135546,0.752453537892342,0.3017460062720075,0.9286787159117381,0.19086343770217343,0.5874172600646537
4.8445586613329115e-17,0.7911764705882353,5.97915790171943e-17,0.9764705882352941,3.7819974679550614e-17,0.6176470588235294
-0.24448697496135538,0.7524535378923422,-0.30174600627200737,0.9286787159117382,-0.19086343770217337,0.5874172600646538
-0.46504186137257425,0.6400752102554731,-0.5739550110620619,0.7899813003896545,-0.3630438322982922,0.4996869671139382
-0.640075210255473,0.4650418613725744,-0.7899813003896544,0.5739550110620621,-0.49968696711393806,0.3630438322982923
-0.752453537892342,0.24448697496135552,-0.9286787159117381,0.30174600627200754,-0.5874172600646537,0.19086343770217346
-0.7911764705882353,9.689117322665823e-17,-0.9764705882352941,1.195831580343886e-16,-0.6176470588235294,7.563994935910123e-17
,,0.0,0.0,0.0,0.0
